Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=0E1E004529795AC385A7C582C2FD3AAA?SERIES_KEY=132.STS.M.MT.S.BPER.CC1109.4.000
,STS.M.MT.S.BPER.CC1109.4.000
,"Malta - Building Permits / dwellings, All Residential Buildings excluding residences for communities; Eurostat; Seasonally adjusted, not working day adjusted "
Collection:,Average of observations through period (A)
Period\Unit:,[2010=100]
,,obs. status
2016Dec,268.80,Provisional value (P)
2016Nov,238.80,Provisional value (P)
2016Oct,259.70,Provisional value (P)
2016Sep,188.90,Provisional value (P)
2016Aug,182.30,Provisional value (P)
2016Jul,180.10,Provisional value (P)
2016Jun,183.10,Provisional value (P)
2016May,159.80,Provisional value (P)
2016Apr,121.30,Provisional value (P)
2016Mar,106.80,Provisional value (P)
2016Feb,117.00,Provisional value (P)
2016Jan,79.90,Provisional value (P)
2015Dec,111.50,Provisional value (P)
2015Nov,82.90,Provisional value (P)
2015Oct,136.40,Provisional value (P)
2015Sep,86.20,Normal value (A)
2015Aug,60.90,Normal value (A)
2015Jul,69.20,Normal value (A)
2015Jun,76.00,Normal value (A)
2015May,85.40,Normal value (A)
2015Apr,100.80,Normal value (A)
2015Mar,82.60,Normal value (A)
2015Feb,105.70,Normal value (A)
2015Jan,89.80,Normal value (A)
2014Dec,117.00,Normal value (A)
2014Nov,84.60,Normal value (A)
2014Oct,54.40,Normal value (A)
2014Sep,65.10,Normal value (A)
2014Aug,91.70,Normal value (A)
2014Jul,67.80,Normal value (A)
2014Jun,58.50,Normal value (A)
2014May,52.20,Normal value (A)
2014Apr,48.60,Normal value (A)
2014Mar,61.80,Normal value (A)
2014Feb,43.10,Normal value (A)
2014Jan,74.70,Normal value (A)
2013Dec,33.50,Normal value (A)
2013Nov,84.00,Normal value (A)
2013Oct,46.70,Normal value (A)
2013Sep,72.80,Normal value (A)
2013Aug,80.20,Normal value (A)
2013Jul,51.30,Normal value (A)
2013Jun,42.60,Normal value (A)
2013May,60.40,Normal value (A)
2013Apr,65.30,Normal value (A)
2013Mar,39.30,Normal value (A)
2013Feb,53.00,Normal value (A)
2013Jan,89.80,Normal value (A)
2012Dec,122.70,Normal value (A)
2012Nov,51.90,Normal value (A)
2012Oct,74.90,Normal value (A)
2012Sep,60.90,Normal value (A)
2012Aug,46.10,Normal value (A)
2012Jul,74.70,Normal value (A)
2012Jun,78.00,Normal value (A)
2012May,47.80,Normal value (A)
2012Apr,54.60,Normal value (A)
2012Mar,90.30,Normal value (A)
2012Feb,57.10,Normal value (A)
2012Jan,99.10,Normal value (A)
2011Dec,84.80,Normal value (A)
2011Nov,73.90,Normal value (A)
2011Oct,74.70,Normal value (A)
2011Sep,60.90,Normal value (A)
2011Aug,103.00,Normal value (A)
2011Jul,81.00,Normal value (A)
2011Jun,80.20,Normal value (A)
2011May,115.00,Normal value (A)
2011Apr,119.10,Normal value (A)
2011Mar,82.40,Normal value (A)
2011Feb,102.40,Normal value (A)
2011Jan,117.20,Normal value (A)
2010Dec,64.00,Normal value (A)
2010Nov,104.00,Normal value (A)
2010Oct,101.00,Normal value (A)
2010Sep,93.30,Normal value (A)
2010Aug,93.10,Normal value (A)
2010Jul,119.40,Normal value (A)
2010Jun,158.70,Normal value (A)
2010May,154.60,Normal value (A)
2010Apr,69.20,Normal value (A)
2010Mar,110.10,Normal value (A)
2010Feb,81.80,Normal value (A)
2010Jan,50.80,Normal value (A)
2009Dec,110.40,Normal value (A)
2009Nov,151.30,Normal value (A)
2009Oct,98.30,Normal value (A)
2009Sep,105.10,Normal value (A)
2009Aug,81.30,Normal value (A)
2009Jul,100.50,Normal value (A)
2009Jun,118.10,Normal value (A)
2009May,84.80,Normal value (A)
2009Apr,183.70,Normal value (A)
2009Mar,157.30,Normal value (A)
2009Feb,125.70,Normal value (A)
2009Jan,129.00,Normal value (A)
2008Dec,116.70,Normal value (A)
2008Nov,129.90,Normal value (A)
2008Oct,132.90,Normal value (A)
2008Sep,147.20,Normal value (A)
2008Aug,85.10,Normal value (A)
2008Jul,211.90,Normal value (A)
2008Jun,103.80,Normal value (A)
2008May,121.60,Normal value (A)
2008Apr,146.90,Normal value (A)
2008Mar,179.30,Normal value (A)
2008Feb,251.20,Normal value (A)
2008Jan,194.10,Normal value (A)
2007Dec,211.40,Normal value (A)
2007Nov,164.70,Normal value (A)
2007Oct,350.00,Normal value (A)
2007Sep,226.50,Normal value (A)
2007Aug,242.40,Normal value (A)
2007Jul,255.90,Normal value (A)
2007Jun,241.60,Normal value (A)
2007May,329.20,Normal value (A)
2007Apr,265.50,Normal value (A)
2007Mar,274.30,Normal value (A)
2007Feb,258.90,Normal value (A)
2007Jan,243.00,Normal value (A)
2006Dec,212.80,Normal value (A)
2006Nov,199.00,Normal value (A)
2006Oct,235.30,Normal value (A)
2006Sep,237.50,Normal value (A)
2006Aug,236.90,Normal value (A)
2006Jul,240.50,Normal value (A)
2006Jun,238.80,Normal value (A)
2006May,262.20,Normal value (A)
2006Apr,249.60,Normal value (A)
2006Mar,239.70,Normal value (A)
2006Feb,255.30,Normal value (A)
2006Jan,261.60,Normal value (A)
2005Dec,137.30,Normal value (A)
2005Nov,197.90,Normal value (A)
2005Oct,188.60,Normal value (A)
2005Sep,231.70,Normal value (A)
2005Aug,247.90,Normal value (A)
2005Jul,255.60,Normal value (A)
2005Jun,235.60,Normal value (A)
2005May,254.50,Normal value (A)
2005Apr,213.00,Normal value (A)
2005Mar,186.70,Normal value (A)
2005Feb,166.60,Normal value (A)
2005Jan,128.80,Normal value (A)
2004Dec,91.10,Normal value (A)
2004Nov,191.90,Normal value (A)
2004Oct,166.90,Normal value (A)
2004Sep,160.60,Normal value (A)
2004Aug,247.40,Normal value (A)
2004Jul,120.00,Normal value (A)
2004Jun,116.10,Normal value (A)
2004May,144.10,Normal value (A)
2004Apr,132.30,Normal value (A)
2004Mar,142.50,Normal value (A)
2004Feb,184.80,Normal value (A)
2004Jan,129.60,Normal value (A)
2003Dec,148.20,Normal value (A)
2003Nov,186.40,Normal value (A)
2003Oct,148.00,Normal value (A)
2003Sep,150.40,Normal value (A)
2003Aug,132.90,Normal value (A)
2003Jul,128.80,Normal value (A)
2003Jun,132.10,Normal value (A)
2003May,114.50,Normal value (A)
2003Apr,146.10,Normal value (A)
2003Mar,159.50,Normal value (A)
2003Feb,92.80,Normal value (A)
2003Jan,142.20,Normal value (A)
2002Dec,151.80,Normal value (A)
2002Nov,142.50,Normal value (A)
2002Oct,117.80,Normal value (A)
2002Sep,124.10,Normal value (A)
2002Aug,147.20,Normal value (A)
2002Jul,107.10,Normal value (A)
2002Jun,177.60,Normal value (A)
2002May,134.00,Normal value (A)
2002Apr,94.40,Normal value (A)
2002Mar,76.60,Normal value (A)
2002Feb,104.60,Normal value (A)
2002Jan,114.80,Normal value (A)
2001Dec,149.60,Normal value (A)
2001Nov,85.10,Normal value (A)
2001Oct,88.40,Normal value (A)
2001Sep,96.60,Normal value (A)
2001Aug,103.50,Normal value (A)
2001Jul,84.00,Normal value (A)
2001Jun,98.60,Normal value (A)
2001May,68.60,Normal value (A)
2001Apr,84.60,Normal value (A)
2001Mar,91.70,Normal value (A)
2001Feb,110.10,Normal value (A)
2001Jan,106.00,Normal value (A)
2000Dec,112.30,Normal value (A)
2000Nov,63.40,Normal value (A)
2000Oct,67.80,Normal value (A)
2000Sep,111.50,Normal value (A)
2000Aug,86.80,Normal value (A)
2000Jul,96.90,Normal value (A)
2000Jun,84.80,Normal value (A)
2000May,95.50,Normal value (A)
2000Apr,108.70,Normal value (A)
2000Mar,105.70,Normal value (A)
2000Feb,102.40,Normal value (A)
2000Jan,66.70,Normal value (A)