"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2018",20.225591251812,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2019",19.7239266826366,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2020",23.0899750014115,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2021",23.6902730027993,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2018",20.2923796606042,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2019",19.5916415848216,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2020",19.3967339530217,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2021",19.1805088081789,
"ITA","GFCFSECTOR","HH","PC_GFCF","A","2018",29.1504085885041,
"ITA","GFCFSECTOR","HH","PC_GFCF","A","2019",28.2321287461704,
"ITA","GFCFSECTOR","HH","PC_GFCF","A","2020",28.1947690539497,
"ITA","GFCFSECTOR","HH","PC_GFCF","A","2021",31.327972769652,
"ITA","GFCFSECTOR","HH","PC_GFCF","A","2022",32.0750055628725,
"EST","GFCFSECTOR","HH","PC_GFCF","A","2018",18.3396666808989,
"EST","GFCFSECTOR","HH","PC_GFCF","A","2019",20.7129189993622,
"EST","GFCFSECTOR","HH","PC_GFCF","A","2020",18.4938225471191,
"EST","GFCFSECTOR","HH","PC_GFCF","A","2021",18.7270002864635,
"CZE","GFCFSECTOR","HH","PC_GFCF","A","2018",18.5084018259706,
"CZE","GFCFSECTOR","HH","PC_GFCF","A","2019",18.8141018689454,
"CZE","GFCFSECTOR","HH","PC_GFCF","A","2020",19.7381017888966,
"CZE","GFCFSECTOR","HH","PC_GFCF","A","2021",19.8898261665372,
"AUT","GFCFSECTOR","HH","PC_GFCF","A","2018",21.8632954262687,
"AUT","GFCFSECTOR","HH","PC_GFCF","A","2019",21.7196911509075,
"AUT","GFCFSECTOR","HH","PC_GFCF","A","2020",22.7344464871853,
"AUT","GFCFSECTOR","HH","PC_GFCF","A","2021",22.8263578405481,
"GRC","GFCFSECTOR","HH","PC_GFCF","A","2018",14.3167795884254,
"GRC","GFCFSECTOR","HH","PC_GFCF","A","2019",16.3488931076678,"E"
"GRC","GFCFSECTOR","HH","PC_GFCF","A","2020",17.7991863386444,"E"
"GRC","GFCFSECTOR","HH","PC_GFCF","A","2021",18.0471122389678,"E"
"DNK","GFCFSECTOR","HH","PC_GFCF","A","2018",20.270228867306,
"DNK","GFCFSECTOR","HH","PC_GFCF","A","2019",21.0896230547175,
"DNK","GFCFSECTOR","HH","PC_GFCF","A","2020",20.4117634570065,
"DNK","GFCFSECTOR","HH","PC_GFCF","A","2021",20.5490534110058,
"DNK","GFCFSECTOR","HH","PC_GFCF","A","2022",20.5933666306074,
"DEU","GFCFSECTOR","HH","PC_GFCF","A","2018",29.4325745938649,
"DEU","GFCFSECTOR","HH","PC_GFCF","A","2019",28.9267620470364,"E"
"DEU","GFCFSECTOR","HH","PC_GFCF","A","2020",30.3198953469891,"E"
"DEU","GFCFSECTOR","HH","PC_GFCF","A","2021",30.9624600027558,"E"
"DEU","GFCFSECTOR","HH","PC_GFCF","A","2022",31.5981588586299,"E"
"PRT","GFCFSECTOR","HH","PC_GFCF","A","2018",21.5619093403124,
"PRT","GFCFSECTOR","HH","PC_GFCF","A","2019",21.546907565001,
"PRT","GFCFSECTOR","HH","PC_GFCF","A","2020",21.5346991397151,
"PRT","GFCFSECTOR","HH","PC_GFCF","A","2021",21.1058365260278,"E"
"PRT","GFCFSECTOR","HH","PC_GFCF","A","2022",20.4433871721785,"E"
"NLD","GFCFSECTOR","HH","PC_GFCF","A","2018",29.7103603575111,
"NLD","GFCFSECTOR","HH","PC_GFCF","A","2019",30.4349335678904,
"NLD","GFCFSECTOR","HH","PC_GFCF","A","2020",31.5542654261378,"E"
"NLD","GFCFSECTOR","HH","PC_GFCF","A","2021",33.1455531300613,"E"
"FRA","GFCFSECTOR","HH","PC_GFCF","A","2018",25.9395626433627,
"FRA","GFCFSECTOR","HH","PC_GFCF","A","2019",25.7577849108761,
"FRA","GFCFSECTOR","HH","PC_GFCF","A","2020",25.0593559735323,"E"
"FRA","GFCFSECTOR","HH","PC_GFCF","A","2021",26.4596613480091,"E"
"HUN","GFCFSECTOR","HH","PC_GFCF","A","2018",16.8855901203456,
"HUN","GFCFSECTOR","HH","PC_GFCF","A","2019",16.076014883805,
"HUN","GFCFSECTOR","HH","PC_GFCF","A","2020",19.6154387377025,
"HUN","GFCFSECTOR","HH","PC_GFCF","A","2021",17.7711887145893,"E"
"SWE","GFCFSECTOR","HH","PC_GFCF","A","2018",13.5076290355747,
"SWE","GFCFSECTOR","HH","PC_GFCF","A","2019",13.2210773973714,
"SWE","GFCFSECTOR","HH","PC_GFCF","A","2020",14.1098544714316,
"SWE","GFCFSECTOR","HH","PC_GFCF","A","2021",14.3929391103468,
"POL","GFCFSECTOR","HH","PC_GFCF","A","2018",19.0235111330875,
"POL","GFCFSECTOR","HH","PC_GFCF","A","2019",18.9852072919458,
"POL","GFCFSECTOR","HH","PC_GFCF","A","2020",18.0352262374734,
"POL","GFCFSECTOR","HH","PC_GFCF","A","2021",22.4013755877888,
"FIN","GFCFSECTOR","HH","PC_GFCF","A","2018",29.6961178521866,
"FIN","GFCFSECTOR","HH","PC_GFCF","A","2019",29.5543229102871,
"FIN","GFCFSECTOR","HH","PC_GFCF","A","2020",28.9930282539183,
"FIN","GFCFSECTOR","HH","PC_GFCF","A","2021",29.5809436803194,
"FIN","GFCFSECTOR","HH","PC_GFCF","A","2022",29.8558087184011,
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2018",7.47536373197189,
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2019",2.96666963537227,
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2020",3.36044541816091,
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2021",7.10971625931939,
"LUX","GFCFSECTOR","HH","PC_GFCF","A","2018",27.1574776476385,
"LUX","GFCFSECTOR","HH","PC_GFCF","A","2019",23.3129116956101,
"LUX","GFCFSECTOR","HH","PC_GFCF","A","2020",23.6060331204473,
"LUX","GFCFSECTOR","HH","PC_GFCF","A","2021",25.305504939902,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2018",17.1554214601959,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2019",17.2764146179189,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2020",17.8810449761607,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2021",22.0356319429889,
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2018",23.1700932033939,
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2019",23.5799676286572,
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2020",23.5056197953415,"E"
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2021",24.2451478345609,"E"
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2018",16.3668620425216,
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2019",16.1823284956781,
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2020",15.2102376756277,
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2021",13.7589506810325,
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2018",19.9083168390566,
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2019",20.6633565929904,
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2020",21.9516372143474,
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2021",21.3541690602175,
