Year,Percent GDP,Country
2015,18.4,Albania
2016,18.2,Albania
2017,18.8,Albania
2018,17.9,Albania
2019,17.0,Albania
2020,17.8,Albania
2021,18.9,Albania
2022,19.2,Albania
1995,14.1,Austria
1996,14.1,Austria
1997,13.8,Austria
1998,13.5,Austria
1999,13.1,Austria
2000,13.1,Austria
2001,12.3,Austria
2002,11.5,Austria
2003,12.0,Austria
2004,11.9,Austria
2005,11.6,Austria
2006,11.2,Austria
2007,11.2,Austria
2008,11.4,Austria
2009,11.0,Austria
2010,10.5,Austria
2011,10.6,Austria
2012,10.9,Austria
2013,10.8,Austria
2014,10.7,Austria
2015,10.6,Austria
2016,10.4,Austria
2017,10.6,Austria
2018,11.0,Austria
2019,11.4,Austria
2020,11.8,Austria
2021,12.5,Austria
2022,12.5,Austria
2000,18.5,Bosnia and Herzegovina
2001,16.0,Bosnia and Herzegovina
2002,14.7,Bosnia and Herzegovina
2003,14.1,Bosnia and Herzegovina
2004,13.3,Bosnia and Herzegovina
2005,14.0,Bosnia and Herzegovina
2006,11.8,Bosnia and Herzegovina
2007,13.6,Bosnia and Herzegovina
2008,15.8,Bosnia and Herzegovina
2009,13.5,Bosnia and Herzegovina
2010,11.5,Bosnia and Herzegovina
2011,11.9,Bosnia and Herzegovina
2012,11.6,Bosnia and Herzegovina
2013,11.4,Bosnia and Herzegovina
2014,12.1,Bosnia and Herzegovina
2015,10.8,Bosnia and Herzegovina
2016,10.9,Bosnia and Herzegovina
2017,11.0,Bosnia and Herzegovina
2018,11.4,Bosnia and Herzegovina
2019,11.8,Bosnia and Herzegovina
2020,12.7,Bosnia and Herzegovina
2021,11.3,Bosnia and Herzegovina
2022,11.2,Bosnia and Herzegovina
1995,10.8,Belgium
1996,10.5,Belgium
1997,10.6,Belgium
1998,10.2,Belgium
1999,10.1,Belgium
2000,9.7,Belgium
2001,9.4,Belgium
2002,8.7,Belgium
2003,8.9,Belgium
2004,9.5,Belgium
2005,9.9,Belgium
2006,10.3,Belgium
2007,10.7,Belgium
2008,11.2,Belgium
2009,11.1,Belgium
2010,10.8,Belgium
2011,11.1,Belgium
2012,11.5,Belgium
2013,11.0,Belgium
2014,11.0,Belgium
2015,10.7,Belgium
2016,10.8,Belgium
2017,11.0,Belgium
2018,11.4,Belgium
2019,11.7,Belgium
2020,11.6,Belgium
2021,11.7,Belgium
2022,11.7,Belgium
1995,6.8,Bulgaria
1996,1.8,Bulgaria
1997,3.9,Bulgaria
1998,5.9,Bulgaria
1999,6.7,Bulgaria
2000,7.3,Bulgaria
2001,7.3,Bulgaria
2002,7.1,Bulgaria
2003,7.4,Bulgaria
2004,9.6,Bulgaria
2005,11.0,Bulgaria
2006,13.5,Bulgaria
2007,12.9,Bulgaria
2008,18.1,Bulgaria
2009,18.3,Bulgaria
2010,13.9,Bulgaria
2011,10.7,Bulgaria
2012,11.7,Bulgaria
2013,11.6,Bulgaria
2014,10.7,Bulgaria
2015,10.1,Bulgaria
2016,9.3,Bulgaria
2017,8.7,Bulgaria
2018,8.6,Bulgaria
2019,7.8,Bulgaria
2020,8.0,Bulgaria
2021,6.7,Bulgaria
2022,6.3,Bulgaria
1995,11.4,Switzerland
1996,10.3,Switzerland
1997,9.6,Switzerland
1998,9.4,Switzerland
1999,9.1,Switzerland
2000,9.3,Switzerland
2001,9.1,Switzerland
2002,9.2,Switzerland
2003,9.1,Switzerland
2004,9.3,Switzerland
2005,9.5,Switzerland
2006,9.1,Switzerland
2007,8.7,Switzerland
2008,8.6,Switzerland
2009,9.0,Switzerland
2010,9.0,Switzerland
2011,9.3,Switzerland
2012,9.5,Switzerland
2013,9.7,Switzerland
2014,9.8,Switzerland
2015,9.9,Switzerland
2016,9.7,Switzerland
2017,9.7,Switzerland
2018,9.4,Switzerland
2019,9.2,Switzerland
2020,9.5,Switzerland
2021,9.0,Switzerland
1995,13.9,Cyprus
1996,14.1,Cyprus
1997,13.4,Cyprus
1998,12.8,Cyprus
1999,12.3,Cyprus
2000,11.6,Cyprus
2001,11.5,Cyprus
2002,12.1,Cyprus
2003,13.2,Cyprus
2004,14.1,Cyprus
2005,15.4,Cyprus
2006,17.3,Cyprus
2007,18.8,Cyprus
2008,18.8,Cyprus
2009,15.7,Cyprus
2010,14.4,Cyprus
2011,12.0,Cyprus
2012,9.7,Cyprus
2013,8.0,Cyprus
2014,7.5,Cyprus
2015,6.6,Cyprus
2016,8.0,Cyprus
2017,8.7,Cyprus
2018,10.5,Cyprus
2019,11.6,Cyprus
2020,12.4,Cyprus
2021,12.4,Cyprus
2022,12.1,Cyprus
1995,16.4,Czechia
1996,16.5,Czechia
1997,16.0,Czechia
1998,15.0,Czechia
1999,13.9,Czechia
2000,13.3,Czechia
2001,13.1,Czechia
2002,13.1,Czechia
2003,13.7,Czechia
2004,13.3,Czechia
2005,13.6,Czechia
2006,13.3,Czechia
2007,13.8,Czechia
2008,13.4,Czechia
2009,13.3,Czechia
2010,12.8,Czechia
2011,12.1,Czechia
2012,11.5,Czechia
2013,10.8,Czechia
2014,10.4,Czechia
2015,10.7,Czechia
2016,9.7,Czechia
2017,10.1,Czechia
2018,10.7,Czechia
2019,11.1,Czechia
2020,11.3,Czechia
2021,11.1,Czechia
2022,11.8,Czechia
1991,12.2,Germany
1992,13.3,Germany
1993,13.7,Germany
1994,14.3,Germany
1995,13.8,Germany
1996,13.2,Germany
1997,12.7,Germany
1998,12.2,Germany
1999,12.1,Germany
2000,11.5,Germany
2001,10.7,Germany
2002,9.9,Germany
2003,9.6,Germany
2004,9.1,Germany
2005,8.8,Germany
2006,9.0,Germany
2007,9.1,Germany
2008,9.1,Germany
2009,9.3,Germany
2010,9.3,Germany
2011,9.8,Germany
2012,10.0,Germany
2013,9.9,Germany
2014,9.9,Germany
2015,9.6,Germany
2016,9.8,Germany
2017,9.8,Germany
2018,10.3,Germany
2019,10.5,Germany
2020,11.3,Germany
2021,11.6,Germany
2022,12.3,Germany
1975,14.1,Denmark
1976,14.7,Denmark
1977,14.1,Denmark
1978,13.8,Denmark
1979,13.5,Denmark
1980,11.9,Denmark
1981,9.4,Denmark
1982,9.3,Denmark
1983,9.3,Denmark
1984,9.7,Denmark
1985,10.2,Denmark
1986,11.3,Denmark
1987,11.7,Denmark
1988,11.0,Denmark
1989,10.3,Denmark
1990,9.8,Denmark
1991,8.6,Denmark
1992,8.5,Denmark
1993,8.2,Denmark
1994,8.0,Denmark
1995,8.6,Denmark
1996,9.4,Denmark
1997,9.7,Denmark
1998,9.8,Denmark
1999,9.5,Denmark
2000,10.0,Denmark
2001,9.8,Denmark
2002,9.5,Denmark
2003,9.9,Denmark
2004,10.0,Denmark
2005,10.6,Denmark
2006,11.9,Denmark
2007,11.8,Denmark
2008,11.0,Denmark
2009,8.8,Denmark
2010,7.8,Denmark
2011,8.6,Denmark
2012,8.5,Denmark
2013,8.2,Denmark
2014,8.4,Denmark
2015,9.0,Denmark
2016,9.5,Denmark
2017,9.7,Denmark
2018,10.0,Denmark
2019,10.3,Denmark
2020,10.9,Denmark
2021,11.4,Denmark
2022,11.6,Denmark
1995,13.3,Estonia
1996,14.9,Estonia
1997,15.1,Estonia
1998,15.2,Estonia
1999,13.3,Estonia
2000,12.9,Estonia
2001,13.4,Estonia
2002,15.1,Estonia
2003,15.0,Estonia
2004,16.3,Estonia
2005,18.8,Estonia
2006,21.1,Estonia
2007,21.3,Estonia
2008,18.5,Estonia
2009,13.5,Estonia
2010,11.6,Estonia
2011,14.6,Estonia
2012,15.5,Estonia
2013,15.1,Estonia
2014,13.4,Estonia
2015,13.3,Estonia
2016,13.0,Estonia
2017,14.5,Estonia
2018,14.8,Estonia
2019,14.3,Estonia
2020,14.3,Estonia
2021,12.8,Estonia
2022,13.1,Estonia
1995,13.6,Greece
1996,13.8,Greece
1997,12.9,Greece
1998,14.6,Greece
1999,14.7,Greece
2000,14.8,Greece
2001,14.5,Greece
2002,13.3,Greece
2003,14.8,Greece
2004,15.3,Greece
2005,12.7,Greece
2006,14.2,Greece
2007,14.7,Greece
2008,12.7,Greece
2009,11.4,Greece
2010,9.7,Greece
2011,8.3,Greece
2012,7.0,Greece
2013,6.4,Greece
2014,4.9,Greece
2015,4.5,Greece
2016,5.1,Greece
2017,4.8,Greece
2018,4.2,Greece
2019,3.5,Greece
2020,4.1,Greece
2021,4.4,Greece
2022,5.2,Greece
1995,14.2,Spain
1996,13.6,Spain
1997,13.6,Spain
1998,14.0,Spain
1999,15.1,Spain
2000,16.0,Spain
2001,16.5,Spain
2002,17.3,Spain
2003,18.1,Spain
2004,18.9,Spain
2005,19.8,Spain
2006,20.7,Spain
2007,20.2,Spain
2008,18.4,Spain
2009,15.2,Spain
2010,13.4,Spain
2011,11.5,Spain
2012,9.9,Spain
2013,8.7,Spain
2014,8.8,Spain
2015,8.7,Spain
2016,8.6,Spain
2017,9.0,Spain
2018,9.7,Spain
2019,10.4,Spain
2020,10.5,Spain
2021,10.0,Spain
2022,10.3,Spain
1995,11.8,Invalid country code
1996,11.5,Invalid country code
1997,11.3,Invalid country code
1998,11.3,Invalid country code
1999,11.4,Invalid country code
2000,11.5,Invalid country code
2001,11.4,Invalid country code
2002,11.2,Invalid country code
2003,11.4,Invalid country code
2004,11.6,Invalid country code
2005,11.8,Invalid country code
2006,12.3,Invalid country code
2007,12.6,Invalid country code
2008,12.4,Invalid country code
2009,11.5,Invalid country code
2010,10.8,Invalid country code
2011,10.8,Invalid country code
2012,10.4,Invalid country code
2013,10.0,Invalid country code
2014,9.8,Invalid country code
2015,9.6,Invalid country code
2016,9.6,Invalid country code
2017,9.8,Invalid country code
2018,10.2,Invalid country code
2019,10.5,Invalid country code
2020,10.7,Invalid country code
2021,11.2,Invalid country code
2022,11.6,Invalid country code
1980,16.1,Finland
1981,15.5,Finland
1982,15.9,Finland
1983,16.4,Finland
1984,15.2,Finland
1985,15.0,Finland
1986,14.3,Finland
1987,14.5,Finland
1988,15.5,Finland
1989,17.0,Finland
1990,16.7,Finland
1991,15.0,Finland
1992,11.8,Finland
1993,9.6,Finland
1994,9.3,Finland
1995,9.3,Finland
1996,9.9,Finland
1997,10.2,Finland
1998,11.0,Finland
1999,11.5,Finland
2000,12.2,Finland
2001,11.9,Finland
2002,11.3,Finland
2003,11.4,Finland
2004,11.9,Finland
2005,12.5,Finland
2006,12.8,Finland
2007,13.8,Finland
2008,13.9,Finland
2009,12.4,Finland
2010,12.6,Finland
2011,13.0,Finland
2012,13.2,Finland
2013,12.7,Finland
2014,12.3,Finland
2015,12.2,Finland
2016,13.2,Finland
2017,13.6,Finland
2018,14.4,Finland
2019,14.4,Finland
2020,14.6,Finland
2021,14.1,Finland
2022,14.8,Finland
1975,16.3,France
1976,15.8,France
1977,15.1,France
1978,14.8,France
1979,14.7,France
1980,15.1,France
1981,14.5,France
1982,13.8,France
1983,12.8,France
1984,12.2,France
1985,11.8,France
1986,11.8,France
1987,12.0,France
1988,12.5,France
1989,12.7,France
1990,12.6,France
1991,12.6,France
1992,12.1,France
1993,11.2,France
1994,10.9,France
1995,10.6,France
1996,10.3,France
1997,10.0,France
1998,10.1,France
1999,10.4,France
2000,10.9,France
2001,10.9,France
2002,10.8,France
2003,11.2,France
2004,11.6,France
2005,12.1,France
2006,12.7,France
2007,13.2,France
2008,13.4,France
2009,12.7,France
2010,12.5,France
2011,12.7,France
2012,12.6,France
2013,12.3,France
2014,12.0,France
2015,11.5,France
2016,11.5,France
2017,11.9,France
2018,12.1,France
2019,12.5,France
2020,11.8,France
2021,12.9,France
2022,13.1,France
1995,9.0,Croatia
1996,11.5,Croatia
1997,13.1,Croatia
1998,12.6,Croatia
1999,12.9,Croatia
2000,11.8,Croatia
2001,11.4,Croatia
2002,11.9,Croatia
2003,14.1,Croatia
2004,14.4,Croatia
2005,14.7,Croatia
2006,15.6,Croatia
2007,15.1,Croatia
2008,15.0,Croatia
2009,14.7,Croatia
2010,13.1,Croatia
2011,11.6,Croatia
2012,10.9,Croatia
2013,10.9,Croatia
2014,10.4,Croatia
2015,10.2,Croatia
2016,9.8,Croatia
2017,9.4,Croatia
2018,10.1,Croatia
2019,11.0,Croatia
2020,11.8,Croatia
2021,10.9,Croatia
2022,10.6,Croatia
1995,11.1,Hungary
1996,11.9,Hungary
1997,12.0,Hungary
1998,11.6,Hungary
1999,11.0,Hungary
2000,11.4,Hungary
2001,11.8,Hungary
2002,12.5,Hungary
2003,11.6,Hungary
2004,12.3,Hungary
2005,12.6,Hungary
2006,11.9,Hungary
2007,11.6,Hungary
2008,11.8,Hungary
2009,11.8,Hungary
2010,10.0,Hungary
2011,9.1,Hungary
2012,8.5,Hungary
2013,9.4,Hungary
2014,9.9,Hungary
2015,10.1,Hungary
2016,7.9,Hungary
2017,10.0,Hungary
2018,12.0,Hungary
2019,13.6,Hungary
2020,13.8,Hungary
2021,13.9,Hungary
2022,16.0,Hungary
1995,9.5,Ireland
1996,11.0,Ireland
1997,12.3,Ireland
1998,13.2,Ireland
1999,14.4,Ireland
2000,14.7,Ireland
2001,14.9,Ireland
2002,14.8,Ireland
2003,16.2,Ireland
2004,18.1,Ireland
2005,19.7,Ireland
2006,20.6,Ireland
2007,18.6,Ireland
2008,15.6,Ireland
2009,10.1,Ireland
2010,6.7,Ireland
2011,5.4,Ireland
2012,5.3,Ireland
2013,6.0,Ireland
2014,6.4,Ireland
2015,5.4,Ireland
2016,6.1,Ireland
2017,6.6,Ireland
2018,7.0,Ireland
2019,7.2,Ireland
2020,6.4,Ireland
2021,6.1,Ireland
2022,6.3,Ireland
1995,10.2,Iceland
1996,11.0,Iceland
1997,12.1,Iceland
1998,13.9,Iceland
1999,13.2,Iceland
2000,12.9,Iceland
2001,12.7,Iceland
2002,11.9,Iceland
2003,13.6,Iceland
2004,16.6,Iceland
2005,19.8,Iceland
2006,22.5,Iceland
2007,20.5,Iceland
2008,17.6,Iceland
2009,9.8,Iceland
2010,7.9,Iceland
2011,7.0,Iceland
2012,6.7,Iceland
2013,7.4,Iceland
2014,8.2,Iceland
2015,8.5,Iceland
2016,9.9,Iceland
2017,11.4,Iceland
2018,12.1,Iceland
2019,12.8,Iceland
2020,12.9,Iceland
2021,11.8,Iceland
2022,11.9,Iceland
1995,10.1,Italy
1996,9.9,Italy
1997,9.7,Italy
1998,9.6,Italy
1999,9.7,Italy
2000,10.1,Italy
2001,10.2,Italy
2002,10.8,Italy
2003,10.9,Italy
2004,11.2,Italy
2005,11.5,Italy
2006,11.6,Italy
2007,11.6,Italy
2008,11.4,Italy
2009,10.9,Italy
2010,10.5,Italy
2011,10.4,Italy
2012,9.6,Italy
2013,8.8,Italy
2014,8.1,Italy
2015,7.9,Italy
2016,7.8,Italy
2017,7.8,Italy
2018,7.9,Italy
2019,8.0,Italy
2020,8.1,Italy
2021,10.1,Italy
2022,11.2,Italy
1995,12.0,Lithuania
1996,11.1,Lithuania
1997,11.8,Lithuania
1998,13.6,Lithuania
1999,13.0,Lithuania
2000,10.4,Lithuania
2001,10.6,Lithuania
2002,11.0,Lithuania
2003,12.2,Lithuania
2004,12.5,Lithuania
2005,13.0,Lithuania
2006,15.2,Lithuania
2007,17.3,Lithuania
2008,17.0,Lithuania
2009,11.6,Lithuania
2010,9.9,Lithuania
2011,10.5,Lithuania
2012,9.8,Lithuania
2013,10.5,Lithuania
2014,11.1,Lithuania
2015,11.0,Lithuania
2016,10.2,Lithuania
2017,10.3,Lithuania
2018,11.0,Lithuania
2019,11.7,Lithuania
2020,11.7,Lithuania
2021,11.2,Lithuania
2022,11.5,Lithuania
1995,12.5,Luxembourg
1996,12.1,Luxembourg
1997,10.7,Luxembourg
1998,11.6,Luxembourg
1999,10.9,Luxembourg
2000,11.3,Luxembourg
2001,12.0,Luxembourg
2002,12.9,Luxembourg
2003,13.5,Luxembourg
2004,12.5,Luxembourg
2005,11.4,Luxembourg
2006,11.5,Luxembourg
2007,11.1,Luxembourg
2008,12.0,Luxembourg
2009,11.6,Luxembourg
2010,10.1,Luxembourg
2011,11.5,Luxembourg
2012,10.0,Luxembourg
2013,10.2,Luxembourg
2014,10.6,Luxembourg
2015,9.8,Luxembourg
2016,10.4,Luxembourg
2017,9.9,Luxembourg
2018,9.7,Luxembourg
2019,10.5,Luxembourg
2020,9.9,Luxembourg
2021,9.8,Luxembourg
2022,10.7,Luxembourg
1995,7.0,Latvia
1996,8.4,Latvia
1997,6.4,Latvia
1998,8.6,Latvia
1999,9.8,Latvia
2000,10.9,Latvia
2001,11.2,Latvia
2002,10.6,Latvia
2003,11.2,Latvia
2004,13.5,Latvia
2005,14.6,Latvia
2006,18.9,Latvia
2007,20.2,Latvia
2008,17.7,Latvia
2009,14.6,Latvia
2010,10.5,Latvia
2011,12.2,Latvia
2012,14.1,Latvia
2013,13.1,Latvia
2014,13.0,Latvia
2015,12.2,Latvia
2016,9.5,Latvia
2017,10.4,Latvia
2018,12.1,Latvia
2019,12.3,Latvia
2020,11.7,Latvia
2021,10.5,Latvia
2022,9.5,Latvia
2000,11.7,North Macedonia
2001,12.5,North Macedonia
2002,12.3,North Macedonia
2003,12.2,North Macedonia
2004,13.5,North Macedonia
2005,11.8,North Macedonia
2006,12.5,North Macedonia
2007,13.2,North Macedonia
2008,15.2,North Macedonia
2009,14.8,North Macedonia
2010,14.7,North Macedonia
2011,15.3,North Macedonia
2012,15.1,North Macedonia
2013,14.9,North Macedonia
2014,14.6,North Macedonia
2015,15.3,North Macedonia
2016,15.5,North Macedonia
2017,13.9,North Macedonia
2018,11.5,North Macedonia
2019,12.1,North Macedonia
2020,12.6,North Macedonia
2021,12.5,North Macedonia
1995,12.6,Malta
1996,14.4,Malta
1997,12.8,Malta
1998,12.3,Malta
1999,8.9,Malta
2000,10.7,Malta
2001,12.3,Malta
2002,12.4,Malta
2003,13.0,Malta
2004,13.1,Malta
2005,13.7,Malta
2006,13.0,Malta
2007,13.0,Malta
2008,11.2,Malta
2009,9.7,Malta
2010,9.9,Malta
2011,9.3,Malta
2012,8.7,Malta
2013,8.1,Malta
2014,7.9,Malta
2015,10.9,Malta
2016,8.8,Malta
2017,9.2,Malta
2018,8.9,Malta
2019,9.9,Malta
2020,10.5,Malta
2021,10.0,Malta
2022,8.9,Malta
1995,10.8,Netherlands
1996,11.0,Netherlands
1997,10.8,Netherlands
1998,10.8,Netherlands
1999,11.2,Netherlands
2000,11.6,Netherlands
2001,11.8,Netherlands
2002,11.6,Netherlands
2003,11.2,Netherlands
2004,11.0,Netherlands
2005,11.4,Netherlands
2006,11.7,Netherlands
2007,12.1,Netherlands
2008,12.3,Netherlands
2009,11.9,Netherlands
2010,10.4,Netherlands
2011,10.2,Netherlands
2012,8.9,Netherlands
2013,8.3,Netherlands
2014,8.2,Netherlands
2015,8.8,Netherlands
2016,9.5,Netherlands
2017,9.7,Netherlands
2018,10.2,Netherlands
2019,10.6,Netherlands
2020,11.3,Netherlands
2021,11.3,Netherlands
2022,11.2,Netherlands
1975,20.0,Norway
1976,20.9,Norway
1977,21.8,Norway
1978,19.1,Norway
1979,18.4,Norway
1980,16.9,Norway
1981,15.7,Norway
1982,15.5,Norway
1983,17.3,Norway
1984,16.1,Norway
1985,15.0,Norway
1986,17.2,Norway
1987,17.8,Norway
1988,17.0,Norway
1989,14.5,Norway
1990,13.0,Norway
1991,12.4,Norway
1992,12.5,Norway
1993,12.7,Norway
1994,12.5,Norway
1995,12.7,Norway
1996,12.7,Norway
1997,13.4,Norway
1998,15.5,Norway
1999,13.7,Norway
2000,11.2,Norway
2001,11.4,Norway
2002,11.5,Norway
2003,11.5,Norway
2004,12.1,Norway
2005,12.8,Norway
2006,12.9,Norway
2007,14.9,Norway
2008,14.0,Norway
2009,14.4,Norway
2010,12.8,Norway
2011,13.5,Norway
2012,14.8,Norway
2013,15.8,Norway
2014,16.2,Norway
2015,16.4,Norway
2016,16.7,Norway
2017,16.1,Norway
2018,15.1,Norway
2019,16.4,Norway
2020,17.1,Norway
2021,14.5,Norway
2022,12.1,Norway
1995,8.7,Poland
1996,9.3,Poland
1997,10.9,Poland
1998,11.9,Poland
1999,12.4,Poland
2000,12.2,Poland
2001,10.5,Poland
2002,9.5,Poland
2003,9.3,Poland
2004,9.7,Poland
2005,10.2,Poland
2006,10.9,Poland
2007,11.8,Poland
2008,12.5,Poland
2009,12.4,Poland
2010,11.4,Poland
2011,12.0,Poland
2012,11.5,Poland
2013,10.6,Poland
2014,11.0,Poland
2015,10.9,Poland
2016,9.6,Poland
2017,8.6,Poland
2018,9.5,Poland
2019,9.8,Poland
2020,9.5,Poland
2021,9.1,Poland
2022,8.9,Poland
1995,14.7,Portugal
1996,14.9,Portugal
1997,16.1,Portugal
1998,16.5,Portugal
1999,16.6,Portugal
2000,16.7,Portugal
2001,16.8,Portugal
2002,16.2,Portugal
2003,14.9,Portugal
2004,14.6,Portugal
2005,14.3,Portugal
2006,13.6,Portugal
2007,13.2,Portugal
2008,13.0,Portugal
2009,12.3,Portugal
2010,11.7,Portugal
2011,10.8,Portugal
2012,8.9,Portugal
2013,7.7,Portugal
2014,7.5,Portugal
2015,7.7,Portugal
2016,7.5,Portugal
2017,8.3,Portugal
2018,8.7,Portugal
2019,9.4,Portugal
2020,10.4,Portugal
2021,11.0,Portugal
2022,11.2,Portugal
1995,10.7,Romania
1996,10.9,Romania
1997,9.5,Romania
1998,8.6,Romania
1999,8.1,Romania
2000,8.3,Romania
2001,9.2,Romania
2002,9.5,Romania
2003,9.6,Romania
2004,9.4,Romania
2005,10.1,Romania
2006,11.9,Romania
2007,18.5,Romania
2008,21.0,Romania
2009,13.6,Romania
2010,14.6,Romania
2011,14.2,Romania
2012,15.6,Romania
2013,11.6,Romania
2014,11.7,Romania
2015,13.1,Romania
2016,12.2,Romania
2017,13.0,Romania
2018,11.9,Romania
2019,12.9,Romania
2020,14.5,Romania
2021,15.2,Romania
2022,16.7,Romania
1995,6.7,Serbia
1996,6.4,Serbia
1997,6.0,Serbia
1998,6.4,Serbia
1999,5.7,Serbia
2000,6.3,Serbia
2001,6.6,Serbia
2002,8.3,Serbia
2003,8.8,Serbia
2004,9.0,Serbia
2005,9.4,Serbia
2006,10.3,Serbia
2007,10.7,Serbia
2008,10.3,Serbia
2009,9.0,Serbia
2010,8.3,Serbia
2011,8.5,Serbia
2012,8.3,Serbia
2013,6.3,Serbia
2014,6.3,Serbia
2015,6.3,Serbia
2016,6.5,Serbia
2017,7.0,Serbia
2018,8.0,Serbia
2019,10.2,Serbia
2020,9.6,Serbia
2021,10.4,Serbia
2022,9.6,Serbia
1993,8.1,Sweden
1994,7.1,Sweden
1995,6.7,Sweden
1996,6.6,Sweden
1997,6.2,Sweden
1998,6.3,Sweden
1999,6.2,Sweden
2000,6.5,Sweden
2001,7.1,Sweden
2002,7.6,Sweden
2003,7.7,Sweden
2004,8.2,Sweden
2005,8.2,Sweden
2006,9.1,Sweden
2007,9.7,Sweden
2008,9.7,Sweden
2009,8.8,Sweden
2010,8.9,Sweden
2011,9.0,Sweden
2012,8.9,Sweden
2013,8.9,Sweden
2014,9.5,Sweden
2015,9.9,Sweden
2016,10.5,Sweden
2017,11.0,Sweden
2018,11.1,Sweden
2019,10.8,Sweden
2020,11.1,Sweden
2021,10.8,Sweden
2022,11.3,Sweden
1995,10.9,Slovenia
1996,11.9,Slovenia
1997,12.8,Slovenia
1998,13.0,Slovenia
1999,13.6,Slovenia
2000,14.0,Slovenia
2001,12.9,Slovenia
2002,12.1,Slovenia
2003,12.7,Slovenia
2004,13.1,Slovenia
2005,13.7,Slovenia
2006,13.5,Slovenia
2007,14.8,Slovenia
2008,16.1,Slovenia
2009,13.4,Slovenia
2010,10.9,Slovenia
2011,9.0,Slovenia
2012,8.8,Slovenia
2013,8.5,Slovenia
2014,9.1,Slovenia
2015,8.5,Slovenia
2016,7.1,Slovenia
2017,7.5,Slovenia
2018,8.1,Slovenia
2019,8.4,Slovenia
2020,8.4,Slovenia
2021,8.8,Slovenia
2022,10.1,Slovenia
1995,12.0,Slovakia
1996,14.3,Slovakia
1997,14.9,Slovakia
1998,16.1,Slovakia
1999,14.4,Slovakia
2000,12.7,Slovakia
2001,12.8,Slovakia
2002,11.7,Slovakia
2003,10.2,Slovakia
2004,10.3,Slovakia
2005,11.2,Slovakia
2006,13.2,Slovakia
2007,12.8,Slovakia
2008,12.0,Slovakia
2009,10.8,Slovakia
2010,9.3,Slovakia
2011,9.8,Slovakia
2012,8.8,Slovakia
2013,9.2,Slovakia
2014,8.3,Slovakia
2015,10.3,Slovakia
2016,8.5,Slovakia
2017,9.1,Slovakia
2018,9.0,Slovakia
2019,8.7,Slovakia
2020,9.4,Slovakia
2021,9.3,Slovakia
2022,9.9,Slovakia
1995,6.6,United Kingdom
1996,6.6,United Kingdom
1997,8.0,United Kingdom
1998,8.5,United Kingdom
1999,8.6,United Kingdom
2000,8.7,United Kingdom
2001,8.8,United Kingdom
2002,8.9,United Kingdom
2003,9.1,United Kingdom
2004,9.4,United Kingdom
2005,9.6,United Kingdom
2006,9.9,United Kingdom
2007,10.3,United Kingdom
2008,9.9,United Kingdom
2009,8.8,United Kingdom
2010,8.4,United Kingdom
2011,8.3,United Kingdom
2012,8.4,United Kingdom
2013,8.7,United Kingdom
2014,9.1,United Kingdom
2015,9.7,United Kingdom
2016,9.8,United Kingdom
2017,10.0,United Kingdom
2018,10.1,United Kingdom
2019,10.4,United Kingdom
