Year,GVA,Country,Wages
2000,14308.8,Austria,6878.6
2001,14000.3,Austria,6749.1
2002,14131.4,Austria,6588.6
2003,15085.1,Austria,6598.2
2004,15602.3,Austria,6695.5
2005,15833.7,Austria,6761.8
2006,16134.8,Austria,7090.1
2007,17435.3,Austria,7567.4
2008,18169.8,Austria,7986.4
2009,17457.0,Austria,8004.3
2010,17123.6,Austria,8065.9
2011,17476.8,Austria,8298.2
2012,18028.3,Austria,8640.7
2013,18545.6,Austria,8807.8
2014,18958.7,Austria,9160.4
2015,19174.2,Austria,9393.6
2016,19954.5,Austria,9746.3
2017,21148.3,Austria,10217.3
2018,22326.8,Austria,10935.3
2019,23258.9,Austria,11625.0
2020,24178.0,Austria,11972.9
2021,26329.8,Austria,12817.0
2022,30353.1,Austria,13416.3
2000,811.2,Cyprus,292.1
2001,872.0,Cyprus,323.3
2002,968.1,Cyprus,362.8
2003,1081.6,Cyprus,382.5
2004,1206.4,Cyprus,407.3
2005,1360.1,Cyprus,475.1
2006,1572.4,Cyprus,524.8
2007,1818.9,Cyprus,601.0
2008,2014.7,Cyprus,728.4
2009,1584.1,Cyprus,702.2
2010,1422.6,Cyprus,656.9
2011,1233.0,Cyprus,614.3
2012,1030.1,Cyprus,505.2
2013,781.9,Cyprus,366.7
2014,653.4,Cyprus,311.1
2015,634.8,Cyprus,309.6
2016,759.2,Cyprus,340.0
2017,922.2,Cyprus,408.9
2018,1091.6,Cyprus,486.2
2019,1299.7,Cyprus,570.2
2020,1192.3,Cyprus,580.2
2021,1309.2,Cyprus,599.6
2022,1418.5,Cyprus,614.5
2000,98046.0,Germany,62700.0
2001,93163.0,Germany,58766.0
2002,89431.0,Germany,55733.0
2003,85419.0,Germany,53283.0
2004,83134.0,Germany,51244.0
2005,80470.0,Germany,48305.0
2006,83210.0,Germany,48161.0
2007,87680.0,Germany,50072.0
2008,91548.0,Germany,50558.0
2009,91320.0,Germany,52637.0
2010,99926.0,Germany,53717.0
2011,105972.0,Germany,56242.0
2012,110392.0,Germany,58346.0
2013,112226.0,Germany,58536.0
2014,119583.0,Germany,60638.0
2015,124907.0,Germany,62529.0
2016,132548.0,Germany,64749.0
2017,137994.0,Germany,67469.0
2018,148044.0,Germany,71235.0
2019,154323.0,Germany,74920.0
2020,167329.0,Germany,77896.0
2021,179802.0,Germany,81466.0
2022,211296.0,Germany,85898.0
2000,8377.7,Denmark,5621.7
2001,8116.7,Denmark,5780.7
2002,8405.4,Denmark,5777.6
2003,8936.2,Denmark,5872.0
2004,9373.5,Denmark,6006.5
2005,9762.1,Denmark,6634.2
2006,11099.6,Denmark,7338.7
2007,11359.6,Denmark,7921.0
2008,12521.3,Denmark,8187.1
2009,10233.3,Denmark,7367.6
2010,9264.2,Denmark,6882.5
2011,9902.8,Denmark,7092.2
2012,10012.5,Denmark,7184.3
2013,10145.2,Denmark,7154.9
2014,10532.7,Denmark,7539.3
2015,11749.9,Denmark,7950.1
2016,13380.4,Denmark,8469.5
2017,14328.8,Denmark,8993.7
2018,14828.7,Denmark,9476.1
2019,14716.5,Denmark,9823.2
2020,14860.2,Denmark,10219.0
2021,16275.1,Denmark,11060.4
2022,19183.4,Denmark,11965.4
2000,327.1,Estonia,118.8
2001,367.9,Estonia,140.0
2002,435.8,Estonia,158.2
2003,514.6,Estonia,189.7
2004,604.4,Estonia,214.5
2005,854.5,Estonia,310.1
2006,1167.6,Estonia,430.3
2007,1515.2,Estonia,614.7
2008,1419.0,Estonia,681.3
2009,869.0,Estonia,457.9
2010,750.4,Estonia,417.5
2011,1008.7,Estonia,481.4
2012,1154.4,Estonia,532.0
2013,1163.6,Estonia,541.7
2014,1079.1,Estonia,533.3
2015,1098.5,Estonia,573.5
2016,1229.5,Estonia,611.5
2017,1379.7,Estonia,685.2
2018,1561.8,Estonia,776.1
2019,1669.8,Estonia,867.4
2020,1651.8,Estonia,870.5
2021,1845.8,Estonia,1014.4
2022,2198.5,Estonia,1138.0
2000,8948.1,Greece,1671.7
2001,9574.3,Greece,1796.0
2002,10301.4,Greece,2257.2
2003,14318.2,Greece,2543.1
2004,16056.9,Greece,2658.3
2005,11375.3,Greece,2819.3
2006,18085.8,Greece,3117.7
2007,15017.3,Greece,3332.8
2008,10718.8,Greece,3419.5
2009,10549.6,Greece,3243.4
2010,9066.8,Greece,2095.7
2011,6360.4,Greece,1847.0
2012,5330.2,Greece,1319.6
2013,5153.9,Greece,1150.4
2014,3738.4,Greece,1259.9
2015,3493.4,Greece,1208.7
2016,3484.2,Greece,1291.7
2017,2259.1,Greece,1267.6
2018,2431.2,Greece,1226.1
2019,2573.7,Greece,1183.9
2020,2681.3,Greece,1082.8
2021,2925.1,Greece,1145.0
2022,3945.1,Greece,1146.2
2000,59546.0,Spain,24729.0
2001,67287.0,Spain,27441.0
2002,74418.0,Spain,29659.0
2003,80950.0,Spain,31929.0
2004,87547.0,Spain,35369.0
2005,99008.0,Spain,39586.0
2006,108814.0,Spain,43951.0
2007,113088.0,Spain,47393.0
2008,115549.0,Spain,47461.0
2009,107575.0,Spain,40161.0
2010,87560.0,Spain,34913.0
2011,73557.0,Spain,28983.0
2012,62703.0,Spain,23267.0
2013,53763.0,Spain,19847.0
2014,53254.0,Spain,19267.0
2015,56422.0,Spain,20449.0
2016,59362.0,Spain,20840.0
2017,62061.0,Spain,21889.0
2018,64459.0,Spain,24075.0
2019,70821.0,Spain,27603.0
2020,61880.0,Spain,26909.0
2021,60865.0,Spain,29131.0
2022,63162.0,Spain,30871.0
2000,64400.0,France,33487.0
2001,68702.0,France,34892.0
2002,71601.0,France,36661.0
2003,75103.0,France,38392.0
2004,80825.0,France,40882.0
2005,86159.0,France,43593.0
2006,94645.0,France,47151.0
2007,104954.0,France,50498.0
2008,113565.0,France,53294.0
2009,108816.0,France,53740.0
2010,108114.0,France,54192.0
2011,111634.0,France,54997.0
2012,109623.0,France,55290.0
2013,111927.0,France,56064.0
2014,110116.0,France,55388.0
2015,107884.0,France,54802.0
2016,108362.0,France,55000.0
2017,113137.0,France,56406.0
2018,117386.0,France,58218.0
2019,124114.0,France,61030.0
2020,112222.0,France,58597.0
2021,123895.0,France,65256.0
2022,130945.0,France,68896.0
2000,949.8,Croatia,866.7
2001,1167.5,Croatia,906.2
2002,1294.0,Croatia,1005.9
2003,1679.5,Croatia,1066.4
2004,1894.0,Croatia,1079.9
2005,2220.4,Croatia,1231.9
2006,2532.3,Croatia,1328.9
2007,2803.1,Croatia,1451.7
2008,3177.5,Croatia,1604.8
2009,2780.5,Croatia,1479.0
2010,2101.2,Croatia,1189.2
2011,1926.3,Croatia,1084.7
2012,1611.7,Croatia,977.5
2013,1605.8,Croatia,923.4
2014,1575.1,Croatia,898.2
2015,1647.1,Croatia,944.2
2016,1767.9,Croatia,1036.5
2017,1873.7,Croatia,1110.5
2018,2135.6,Croatia,1251.5
2019,2465.3,Croatia,1333.2
2020,2535.4,Croatia,1435.2
2021,2894.7,Croatia,1585.3
2022,3189.6,Croatia,1745.3
2000,2216.9,Hungary,853.6
2001,2805.2,Hungary,1029.5
2002,3601.7,Hungary,1152.4
2003,3523.1,Hungary,1364.2
2004,3833.0,Hungary,1638.2
2005,4509.7,Hungary,2045.9
2006,4263.2,Hungary,2057.0
2007,4324.7,Hungary,2004.6
2008,4535.7,Hungary,1956.6
2009,3889.9,Hungary,1715.4
2010,3508.0,Hungary,1687.1
2011,3503.0,Hungary,1723.4
2012,3242.6,Hungary,1697.3
2013,3480.7,Hungary,1670.8
2014,3747.6,Hungary,1548.8
2015,3988.6,Hungary,1540.0
2016,3509.6,Hungary,1486.2
2017,4565.0,Hungary,1755.7
2018,5819.7,Hungary,1928.7
2019,7087.9,Hungary,2170.1
2020,6627.1,Hungary,2211.4
2021,8130.3,Hungary,2381.2
2022,9256.5,Hungary,2704.8
2000,6931.0,Ireland,3546.5
2001,8081.4,Ireland,4088.1
2002,8671.8,Ireland,4505.7
2003,9933.1,Ireland,4931.1
2004,11947.1,Ireland,5743.8
2005,14622.0,Ireland,7150.5
2006,17365.0,Ireland,8157.6
2007,16062.1,Ireland,8758.9
2008,11049.2,Ireland,7424.1
2009,4170.5,Ireland,4628.8
2010,2342.3,Ireland,3196.2
2011,1679.4,Ireland,2097.8
2012,2691.8,Ireland,1868.8
2013,3477.5,Ireland,1855.8
2014,4427.4,Ireland,1988.3
2015,4908.8,Ireland,2175.9
2016,5734.5,Ireland,2605.1
2017,7478.1,Ireland,3117.2
2018,8055.2,Ireland,3425.2
2019,8778.9,Ireland,3634.9
2020,8178.6,Ireland,3640.5
2021,8717.8,Ireland,4130.6
2022,11051.3,Ireland,4787.6
2000,54025.2,Italy,15703.3
2001,59804.6,Italy,17253.9
2002,64361.3,Italy,18573.0
2003,69507.8,Italy,19837.5
2004,75022.7,Italy,20898.2
2005,79606.9,Italy,22476.9
2006,83258.4,Italy,23647.3
2007,87163.8,Italy,25150.4
2008,89655.4,Italy,26360.8
2009,85514.0,Italy,26486.9
2010,81550.4,Italy,26076.9
2011,82617.5,Italy,26115.2
2012,76511.8,Italy,24346.8
2013,71343.0,Italy,22023.4
2014,65661.9,Italy,21015.3
2015,64622.7,Italy,21731.1
2016,65426.2,Italy,22264.0
2017,66085.0,Italy,22591.6
2018,66997.3,Italy,23113.2
2019,69444.2,Italy,23915.9
2020,66317.5,Italy,22461.8
2021,79968.8,Italy,27256.8
2022,88591.3,Italy,31148.3
2000,664.5,Lithuania,257.1
2001,724.3,Lithuania,268.3
2002,852.1,Lithuania,335.5
2003,1037.6,Lithuania,399.0
2004,1195.5,Lithuania,485.9
2005,1480.6,Lithuania,617.3
2006,2055.6,Lithuania,898.7
2007,2915.8,Lithuania,1178.1
2008,3285.6,Lithuania,1276.0
2009,1601.0,Lithuania,689.8
2010,1472.6,Lithuania,663.3
2011,1839.3,Lithuania,801.5
2012,1846.5,Lithuania,847.4
2013,2123.5,Lithuania,912.1
2014,2453.8,Lithuania,987.6
2015,2496.7,Lithuania,1035.7
2016,2346.2,Lithuania,1138.0
2017,2540.6,Lithuania,1253.6
2018,2878.2,Lithuania,1420.6
2019,3215.5,Lithuania,1833.1
2020,3257.2,Lithuania,1881.0
2021,3566.3,Lithuania,2031.0
2022,4284.6,Lithuania,2384.3
2000,1257.0,Luxembourg,736.1
2001,1338.2,Luxembourg,784.4
2002,1446.0,Luxembourg,873.5
2003,1487.4,Luxembourg,901.7
2004,1548.0,Luxembourg,955.6
2005,1524.0,Luxembourg,991.5
2006,1674.5,Luxembourg,1095.0
2007,1920.7,Luxembourg,1230.5
2008,1954.2,Luxembourg,1335.8
2009,1917.1,Luxembourg,1373.5
2010,2006.9,Luxembourg,1357.7
2011,2045.7,Luxembourg,1488.6
2012,2198.8,Luxembourg,1518.1
2013,2289.8,Luxembourg,1557.3
2014,2477.5,Luxembourg,1633.9
2015,2584.5,Luxembourg,1663.2
2016,2797.6,Luxembourg,1725.8
2017,2806.3,Luxembourg,1819.9
2018,2898.3,Luxembourg,1924.9
2019,3425.1,Luxembourg,2057.3
2020,3307.1,Luxembourg,2065.0
2021,3805.3,Luxembourg,2378.4
2022,4581.0,Luxembourg,2547.6
2000,538.9,Latvia,141.8
2001,519.6,Latvia,164.0
2002,577.0,Latvia,161.5
2003,583.5,Latvia,185.3
2004,688.5,Latvia,259.5
2005,831.1,Latvia,410.4
2006,1313.1,Latvia,732.4
2007,2048.7,Latvia,1253.7
2008,2245.2,Latvia,1254.4
2009,1333.5,Latvia,656.9
2010,776.6,Latvia,507.1
2011,985.2,Latvia,509.0
2012,1183.0,Latvia,565.5
2013,1250.8,Latvia,654.9
2014,1300.3,Latvia,714.9
2015,1308.5,Latvia,750.3
2016,1184.0,Latvia,743.9
2017,1378.9,Latvia,825.1
2018,1608.6,Latvia,958.7
2019,1732.5,Latvia,1056.2
2020,1677.4,Latvia,1036.5
2021,1622.4,Latvia,1141.5
2022,1719.1,Latvia,1207.0
2000,236.5,Malta,68.2
2001,259.2,Malta,72.6
2002,322.9,Malta,80.2
2003,348.2,Malta,81.8
2004,343.9,Malta,87.8
2005,339.4,Malta,91.4
2006,302.4,Malta,94.5
2007,232.6,Malta,103.5
2008,252.6,Malta,112.7
2009,241.3,Malta,109.0
2010,285.7,Malta,111.8
2011,268.6,Malta,124.0
2012,266.1,Malta,118.5
2013,303.4,Malta,121.8
2014,283.5,Malta,117.4
2015,320.5,Malta,129.5
2016,333.6,Malta,138.7
2017,403.9,Malta,140.8
2018,460.6,Malta,163.3
2019,598.8,Malta,187.3
2020,606.1,Malta,215.7
2021,638.4,Malta,234.4
2022,673.4,Malta,253.9
2000,21651.0,Netherlands,11821.0
2001,23624.0,Netherlands,12762.0
2002,24887.0,Netherlands,13253.0
2003,25047.0,Netherlands,13138.0
2004,25327.0,Netherlands,13100.0
2005,26702.0,Netherlands,13214.0
2006,28529.0,Netherlands,13625.0
2007,31030.0,Netherlands,14234.0
2008,33336.0,Netherlands,14836.0
2009,33516.0,Netherlands,14959.0
2010,30186.0,Netherlands,14616.0
2011,29794.0,Netherlands,14554.0
2012,27254.0,Netherlands,14321.0
2013,25632.0,Netherlands,13342.0
2014,25882.0,Netherlands,12605.0
2015,26394.0,Netherlands,12417.0
2016,28188.0,Netherlands,12749.0
2017,29970.0,Netherlands,13281.0
2018,32544.0,Netherlands,14001.0
2019,36001.0,Netherlands,14733.0
2020,38241.0,Netherlands,15315.0
2021,40100.0,Netherlands,16000.0
2022,39965.0,Netherlands,16876.0
2000,13596.9,Poland,4686.1
2001,15234.3,Poland,5132.2
2002,13779.5,Poland,4229.3
2003,11587.4,Poland,3481.0
2004,13086.5,Poland,3560.6
2005,16397.5,Poland,4380.1
2006,18404.5,Poland,4839.2
2007,21387.0,Poland,6085.0
2008,26186.9,Poland,8044.8
2009,24032.7,Poland,7038.3
2010,25886.8,Poland,8305.5
2011,30047.6,Poland,9244.8
2012,27784.3,Poland,8805.4
2013,26383.8,Poland,8544.8
2014,29201.1,Poland,8912.4
2015,33012.1,Poland,9368.8
2016,29262.9,Poland,9394.5
2017,30197.3,Poland,10013.9
2018,34573.3,Poland,10099.0
2019,36259.1,Poland,11058.7
2020,34605.7,Poland,11028.1
2021,32320.6,Poland,11347.4
2022,35424.6,Poland,12667.7
2000,8602.8,Portugal,4082.5
2001,9226.6,Portugal,4124.4
2002,9479.4,Portugal,4509.2
2003,9157.8,Portugal,4506.8
2004,9465.0,Portugal,4640.7
2005,9538.3,Portugal,4774.3
2006,9682.1,Portugal,4969.4
2007,10291.2,Portugal,5343.3
2008,10528.8,Portugal,5377.2
2009,9767.9,Portugal,5027.1
2010,9224.9,Portugal,4926.2
2011,8464.3,Portugal,4508.4
2012,7168.6,Portugal,3651.3
2013,6767.1,Portugal,3320.0
2014,6298.0,Portugal,3146.8
2015,6391.4,Portugal,3216.8
2016,6523.4,Portugal,3298.5
2017,6864.3,Portugal,3488.8
2018,7463.8,Portugal,3754.1
2019,8087.2,Portugal,4145.2
2020,8298.3,Portugal,4293.6
2021,8938.6,Portugal,4667.5
2022,9446.6,Portugal,5195.3
